Latitude (decimal degrees):	28.095
Longitude (decimal degrees):	-15.487
Elevation (m):	255
Radiation database:	PVGIS-SARAH3


Slope: 27 deg. (optimum)
Azimuth: 2 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230104:1909,0.0,0.0,0.0,0.0,0.0,18.51,3.31,0.0
20230104:2009,0.0,0.0,0.0,0.0,0.0,18.11,3.66,0.0
20230104:2109,0.0,0.0,0.0,0.0,0.0,17.78,4.14,0.0
20230104:2209,0.0,0.0,0.0,0.0,0.0,17.51,4.48,0.0
20230104:2309,0.0,0.0,0.0,0.0,0.0,17.28,4.55,0.0
20230105:0009,0.0,0.0,0.0,0.0,0.0,17.05,4.48,0.0
20230105:0109,0.0,0.0,0.0,0.0,0.0,16.83,4.41,0.0
20230105:0209,0.0,0.0,0.0,0.0,0.0,16.64,4.41,0.0
20230105:0309,0.0,0.0,0.0,0.0,0.0,16.49,4.48,0.0
20230105:0409,0.0,0.0,0.0,0.0,0.0,16.36,4.48,0.0
20230105:0509,0.0,0.0,0.0,0.0,0.0,16.26,4.55,0.0
20230105:0609,0.0,0.0,0.0,0.0,0.0,16.2,4.41,0.0
20230105:0709,0.0,0.0,0.0,0.0,0.0,16.27,4.48,0.0
20230105:0809,1.45,0.0,9.13,0.11,2.09,16.16,4.21,0.0
20230105:0909,278.56,254.14,94.69,2.15,13.43,16.55,3.93,0.0
20230105:1009,481.25,447.69,138.37,4.12,23.56,17.55,3.86,0.0
20230105:1109,641.37,644.33,148.05,5.83,31.84,18.39,3.66,0.0
20230105:1209,722.66,742.44,162.99,6.83,37.39,18.96,3.59,0.0
20230105:1309,739.06,750.28,181.81,7.08,39.28,19.32,3.45,0.0
20230105:1409,727.83,765.68,153.41,6.85,37.12,19.51,3.24,0.0
20230105:1509,633.87,642.83,148.47,5.72,31.36,19.6,3.17,0.0
20230105:1609,480.45,461.97,131.65,4.02,22.93,19.51,3.1,0.0
20230105:1709,276.56,262.08,89.18,2.01,12.7,19.21,2.97,0.0
20230105:1809,0.0,0.0,0.0,0.0,0.0,18.67,2.69,0.0
20230105:1909,0.0,0.0,0.0,0.0,0.0,17.86,3.17,0.0
20230105:2009,0.0,0.0,0.0,0.0,0.0,17.36,3.38,0.0
20230105:2109,0.0,0.0,0.0,0.0,0.0,17.02,3.72,0.0
20230105:2209,0.0,0.0,0.0,0.0,0.0,16.74,4.14,0.0
20230105:2309,0.0,0.0,0.0,0.0,0.0,16.56,4.48,0.0
20230106:0009,0.0,0.0,0.0,0.0,0.0,16.37,4.55,0.0
20230106:0109,0.0,0.0,0.0,0.0,0.0,16.26,4.55,0.0
20230106:0209,0.0,0.0,0.0,0.0,0.0,16.14,4.48,0.0
20230106:0309,0.0,0.0,0.0,0.0,0.0,16.07,4.28,0.0
20230106:0409,0.0,0.0,0.0,0.0,0.0,15.95,4.14,0.0
20230106:0509,0.0,0.0,0.0,0.0,0.0,15.83,4.21,0.0
20230106:0609,0.0,0.0,0.0,0.0,0.0,15.73,4.28,0.0
20230106:0709,0.0,0.0,0.0,0.0,0.0,15.67,4.14,0.0
20230106:0809,1.46,0.0,9.13,0.11,2.07,15.57,3.79,0.0
20230106:0909,241.04,195.97,107.21,1.99,13.42,16.02,3.38,0.0
20230106:1009,371.84,256.97,196.57,3.54,23.58,17.09,3.17,0.0
20230106:1109,541.8,431.85,234.14,5.2,31.89,17.9,3.1,0.0
20230106:1209,720.13,744.2,162.89,6.85,37.47,18.56,2.97,0.0
20230106:1309,748.61,782.21,166.65,7.19,39.4,19.01,3.03,0.0
20230106:1409,718.88,745.29,162.51,6.8,37.26,19.23,3.03,0.0
20230106:1509,636.86,645.9,148.35,5.75,31.52,19.2,3.1,0.0
20230106:1609,487.74,471.96,129.35,4.07,23.08,19.01,3.1,0.0
20230106:1709,278.54,262.24,90.13,2.03,12.85,18.65,3.1,0.0
20230106:1809,0.0,0.0,0.0,0.0,0.0,18.06,2.97,0.0
20230106:1909,0.0,0.0,0.0,0.0,0.0,17.32,2.97,0.0
20230106:2009,0.0,0.0,0.0,0.0,0.0,16.91,3.31,0.0
20230106:2109,0.0,0.0,0.0,0.0,0.0,16.62,3.66,0.0
20230106:2209,0.0,0.0,0.0,0.0,0.0,16.39,3.86,0.0
20230106:2309,0.0,0.0,0.0,0.0,0.0,16.24,4.21,0.0
20230107:0009,0.0,0.0,0.0,0.0,0.0,16.11,4.34,0.0
20230107:0109,0.0,0.0,0.0,0.0,0.0,16.02,4.41,0.0
20230107:0209,0.0,0.0,0.0,0.0,0.0,15.91,4.41,0.0
20230107:0309,0.0,0.0,0.0,0.0,0.0,15.83,4.28,0.0
20230107:0409,0.0,0.0,0.0,0.0,0.0,15.75,4.07,0.0
20230107:0509,0.0,0.0,0.0,0.0,0.0,15.64,3.79,0.0
20230107:0609,0.0,0.0,0.0,0.0,0.0,15.51,3.59,0.0
20230107:0709,0.0,0.0,0.0,0.0,0.0,15.53,3.66,0.0
20230107:0809,1.46,0.0,9.13,0.11,2.05,15.48,3.52,0.0
20230107:0909,174.5,107.34,116.16,1.7,13.42,15.96,3.38,0.0
20230107:1009,465.63,414.19,152.08,4.05,23.6,17.06,3.66,0.0
20230107:1109,519.8,386.52,247.77,5.05,31.95,17.89,3.86,0.0
20230107:1209,552.68,374.38,303.05,5.65,37.57,18.4,4.07,0.0
20230107:1309,643.53,510.52,283.66,6.38,39.52,18.73,4.34,0.0
20230107:1409,645.12,542.58,253.56,6.23,37.41,18.76,4.28,0.0
20230107:1509,626.89,601.89,169.95,5.65,31.67,18.8,4.14,0.0
20230107:1609,463.25,415.82,151.94,3.94,23.24,18.73,3.59,0.0
20230107:1709,271.27,248.01,95.02,2.02,13.0,18.42,2.97,0.0
20230107:1809,0.0,0.0,2.74,0.03,1.59,17.93,2.48,0.0
20230107:1909,0.0,0.0,0.0,0.0,0.0,17.42,3.66,0.0
20230107:2009,0.0,0.0,0.0,0.0,0.0,17.02,3.72,0.0
20230107:2109,0.0,0.0,0.0,0.0,0.0,16.7,3.93,0.0
20230107:2209,0.0,0.0,0.0,0.0,0.0,16.49,4.28,0.0
20230107:2309,0.0,0.0,0.0,0.0,0.0,16.31,4.55,0.0
20230108:0009,0.0,0.0,0.0,0.0,0.0,16.19,4.76,0.0
20230108:0109,0.0,0.0,0.0,0.0,0.0,16.07,4.83,0.0
20230108:0209,0.0,0.0,0.0,0.0,0.0,15.98,4.62,0.0
20230108:0309,0.0,0.0,0.0,0.0,0.0,15.83,4.34,0.0
20230108:0409,0.0,0.0,0.0,0.0,0.0,15.68,4.14,0.0
20230108:0509,0.0,0.0,0.0,0.0,0.0,15.61,4.0,0.0
20230108:0609,0.0,0.0,0.0,0.0,0.0,15.52,3.79,0.0
20230108:0709,0.0,0.0,0.0,0.0,0.0,15.51,3.45,0.0
20230108:0809,0.64,0.0,7.3,0.09,2.04,15.46,3.31,0.0
20230108:0909,261.08,225.58,101.89,2.08,13.43,15.92,3.38,0.0
20230108:1009,379.04,265.48,195.15,3.58,23.63,16.97,3.72,0.0
20230108:1109,642.52,638.08,152.39,5.86,32.01,17.79,3.79,0.0
20230108:1209,725.62,735.93,169.73,6.87,37.66,18.43,3.72,0.0
20230108:1309,754.51,775.18,173.5,7.22,39.65,18.84,3.66,0.0
20230108:1409,730.57,752.55,163.63,6.88,37.56,19.06,3.66,0.0
20230108:1509,642.68,642.72,154.06,5.8,31.83,19.15,3.72,0.0
20230108:1609,501.52,488.27,127.07,4.18,23.4,18.95,3.79,0.0
20230108:1709,174.85,111.88,113.67,1.65,13.16,18.54,4.0,0.0
20230108:1809,0.0,0.0,3.65,0.04,1.74,17.92,4.28,0.0
20230108:1909,0.0,0.0,0.0,0.0,0.0,17.32,4.48,0.0
20230108:2009,0.0,0.0,0.0,0.0,0.0,16.94,4.48,0.0
20230108:2109,0.0,0.0,0.0,0.0,0.0,16.69,4.62,0.0
20230108:2209,0.0,0.0,0.0,0.0,0.0,16.5,4.62,0.0
20230108:2309,0.0,0.0,0.0,0.0,0.0,16.4,4.48,0.0
20230109:0009,0.0,0.0,0.0,0.0,0.0,16.26,4.28,0.0
20230109:0109,0.0,0.0,0.0,0.0,0.0,16.03,4.21,0.0
20230109:0209,0.0,0.0,0.0,0.0,0.0,15.87,4.14,0.0
20230109:0309,0.0,0.0,0.0,0.0,0.0,15.73,4.14,0.0
20230109:0409,0.0,0.0,0.0,0.0,0.0,15.64,4.21,0.0
20230109:0509,0.0,0.0,0.0,0.0,0.0,15.62,4.34,0.0
20230109:0609,0.0,0.0,0.0,0.0,0.0,15.64,4.55,0.0
20230109:0709,0.0,0.0,0.0,0.0,0.0,15.86,4.62,0.0
20230109:0809,0.27,0.0,6.39,0.07,2.03,15.91,4.62,0.0
20230109:0909,202.51,142.95,113.87,1.83,13.44,16.49,4.62,0.0
20230109:1009,234.06,88.82,200.7,2.7,23.67,17.35,4.83,0.0
20230109:1109,467.52,300.65,266.44,4.72,32.08,18.09,4.76,0.0
20230109:1209,563.82,391.78,297.94,5.73,37.77,18.67,4.62,0.0
20230109:1309,582.92,402.62,313.65,5.98,39.79,18.99,4.48,0.0
20230109:1409,642.86,540.35,253.87,6.24,37.72,19.14,4.34,0.0
20230109:1509,554.71,452.5,227.46,5.22,32.0,19.1,4.28,0.0
20230109:1609,490.78,468.4,131.89,4.11,23.56,19.03,4.21,0.0
20230109:1709,291.68,276.57,90.14,2.14,13.32,18.85,4.21,0.0
20230109:1809,0.0,0.0,4.56,0.05,1.9,18.44,4.21,0.0
20230109:1909,0.0,0.0,0.0,0.0,0.0,18.04,4.07,0.0
20230109:2009,0.0,0.0,0.0,0.0,0.0,17.74,4.21,0.0
20230109:2109,0.0,0.0,0.0,0.0,0.0,17.55,4.34,0.0
20230109:2209,0.0,0.0,0.0,0.0,0.0,17.38,4.62,0.0
20230109:2309,0.0,0.0,0.0,0.0,0.0,17.28,4.69,0.0
20230110:0009,0.0,0.0,0.0,0.0,0.0,17.16,4.76,0.0
20230110:0109,0.0,0.0,0.0,0.0,0.0,16.93,4.83,0.0
20230110:0209,0.0,0.0,0.0,0.0,0.0,16.78,4.97,0.0
20230110:0309,0.0,0.0,0.0,0.0,0.0,16.67,4.9,0.0
20230110:0409,0.0,0.0,0.0,0.0,0.0,16.64,4.9,0.0
20230110:0509,0.0,0.0,0.0,0.0,0.0,16.56,4.76,0.0
20230110:0609,0.0,0.0,0.0,0.0,0.0,16.44,4.55,0.0
20230110:0709,0.0,0.0,0.0,0.0,0.0,16.47,4.83,0.0
20230110:0809,0.0,0.0,1.83,0.02,2.03,16.33,4.41,0.0
20230110:0909,251.16,216.57,99.25,2.03,13.46,16.64,4.28,0.0
20230110:1009,198.03,58.54,189.83,2.44,23.72,17.47,4.41,0.0
20230110:1109,203.83,26.6,229.74,2.75,32.16,18.12,4.28,0.0
20230110:1209,232.12,25.88,264.52,3.14,37.88,18.61,4.07,0.0
20230110:1309,226.03,18.59,265.36,3.11,39.94,19.02,4.07,0.0
20230110:1409,168.81,2.9,214.16,2.44,37.89,19.19,4.34,0.0
20230110:1509,239.45,51.15,247.85,3.08,32.17,19.2,4.28,0.0
20230110:1609,120.86,9.79,150.81,1.75,23.73,19.02,4.07,0.0
20230110:1709,194.17,136.21,112.42,1.74,13.48,18.72,4.0,0.0
20230110:1809,0.0,0.0,0.91,0.01,2.05,18.29,3.93,0.0
20230110:1909,0.0,0.0,0.0,0.0,0.0,17.76,4.07,0.0
20230110:2009,0.0,0.0,0.0,0.0,0.0,17.5,4.0,0.0
20230110:2109,0.0,0.0,0.0,0.0,0.0,17.46,4.07,0.0
20230110:2209,0.0,0.0,0.0,0.0,0.0,17.28,4.21,0.0
20230110:2309,0.0,0.0,0.0,0.0,0.0,17.18,4.07,0.0
20230111:0009,0.0,0.0,0.0,0.0,0.0,16.95,3.93,0.0
20230111:0109,0.0,0.0,0.0,0.0,0.0,16.77,3.93,0.0
20230111:0209,0.0,0.0,0.0,0.0,0.0,16.72,4.0,0.0
20230111:0309,0.0,0.0,0.0,0.0,0.0,16.56,4.14,0.0
20230111:0409,0.0,0.0,0.0,0.0,0.0,16.16,4.34,0.0
20230111:0509,0.0,0.0,0.0,0.0,0.0,15.8,4.14,0.0
20230111:0609,0.0,0.0,0.0,0.0,0.0,15.53,3.72,0.0
20230111:0709,0.0,0.0,0.0,0.0,0.0,16.43,4.97,0.0
20230111:0809,0.0,0.0,0.91,0.01,2.03,16.37,4.97,0.0
20230111:0909,85.38,22.72,95.47,1.16,13.48,16.65,4.97,0.0
20230111:1009,448.57,388.24,152.84,3.93,23.77,17.27,5.24,0.0
20230111:1109,297.46,97.34,266.22,3.55,32.24,17.87,5.31,0.0
20230111:1209,544.96,362.98,299.59,5.58,38.0,18.53,5.31,0.0
20230111:1309,457.32,219.77,337.0,5.1,40.09,19.01,5.38,0.0
20230111:1409,591.33,442.51,279.74,5.87,38.06,19.21,5.45,0.0
20230111:1509,397.19,208.51,274.79,4.24,32.35,19.26,5.52,0.0
20230111:1609,310.06,177.11,202.2,3.14,23.91,19.1,5.79,0.0
20230111:1709,232.73,184.83,108.48,1.91,13.64,18.77,6.21,0.0
20230111:1809,0.0,0.0,4.56,0.05,2.21,18.18,6.28,0.0
20230111:1909,0.0,0.0,0.0,0.0,0.0,17.82,6.76,0.0
20230111:2009,0.0,0.0,0.0,0.0,0.0,17.55,6.76,0.0
20230111:2109,0.0,0.0,0.0,0.0,0.0,17.39,6.69,0.0
20230111:2209,0.0,0.0,0.0,0.0,0.0,17.13,6.62,0.0
20230111:2309,0.0,0.0,0.0,0.0,0.0,16.96,6.69,0.0
20230112:0009,0.0,0.0,0.0,0.0,0.0,16.77,6.9,0.0
20230112:0109,0.0,0.0,0.0,0.0,0.0,16.55,7.1,0.0
20230112:0209,0.0,0.0,0.0,0.0,0.0,16.28,7.17,0.0
20230112:0309,0.0,0.0,0.0,0.0,0.0,16.15,7.17,0.0
20230112:0409,0.0,0.0,0.0,0.0,0.0,16.12,7.31,0.0
20230112:0509,0.0,0.0,0.0,0.0,0.0,16.13,7.24,0.0
20230112:0609,0.0,0.0,0.0,0.0,0.0,16.1,7.24,0.0
20230112:0709,0.0,0.0,0.0,0.0,0.0,16.28,7.17,0.0
20230112:0809,0.0,0.0,2.84,0.03,2.04,16.3,7.1,0.0
20230112:0909,169.15,103.71,112.95,1.67,13.51,16.62,7.17,0.0
20230112:1009,28.05,0.0,48.26,0.54,23.82,17.14,7.31,0.0
20230112:1109,223.2,36.79,239.76,2.92,32.33,17.61,7.17,0.0
20230112:1209,166.24,2.86,209.41,2.38,38.13,18.22,7.03,0.0
20230112:1309,431.51,182.28,338.71,4.89,40.25,18.51,7.17,0.0
20230112:1409,289.91,60.59,294.35,3.68,38.24,18.51,7.24,0.0
20230112:1509,319.97,116.67,272.33,3.71,32.53,18.54,7.24,0.0
20230112:1609,130.56,12.95,157.89,1.85,24.08,18.48,7.38,0.0
20230112:1709,70.51,11.83,88.89,1.05,13.81,18.1,7.72,0.0
20230112:1809,0.0,0.0,3.65,0.04,2.37,17.49,7.93,0.0
20230112:1909,0.0,0.0,0.0,0.0,0.0,16.93,8.21,0.0
20230112:2009,0.0,0.0,0.0,0.0,0.0,16.64,8.76,0.0
20230112:2109,0.0,0.0,0.0,0.0,0.0,16.53,8.76,0.0
20230112:2209,0.0,0.0,0.0,0.0,0.0,16.43,8.62,0.0
20230112:2309,0.0,0.0,0.0,0.0,0.0,16.35,8.41,0.0
20230113:0009,0.0,0.0,0.0,0.0,0.0,16.37,8.21,0.0
20230113:0109,0.0,0.0,0.0,0.0,0.0,16.33,7.86,0.0
20230113:0209,0.0,0.0,0.0,0.0,0.0,16.2,7.38,0.0
20230113:0309,0.0,0.0,0.0,0.0,0.0,16.0,7.17,0.0
20230113:0409,0.0,0.0,0.0,0.0,0.0,15.82,7.1,0.0
20230113:0509,0.0,0.0,0.0,0.0,0.0,15.74,7.03,0.0
20230113:0609,0.0,0.0,0.0,0.0,0.0,15.65,6.97,0.0
20230113:0709,0.0,0.0,0.0,0.0,0.0,15.81,7.03,0.0
20230113:0809,1.17,0.0,8.52,0.1,2.05,15.75,6.9,0.0
20230113:0909,165.36,97.64,114.06,1.66,13.54,15.94,6.62,0.0
20230113:1009,83.66,0.0,115.44,1.3,23.88,16.5,6.48,0.0
20230113:1109,238.08,44.04,249.47,3.07,32.43,17.17,6.28,0.0
20230113:1209,73.55,0.0,104.08,1.18,38.26,17.69,6.21,0.0
20230113:1309,472.88,227.34,343.92,5.22,40.42,18.11,6.28,0.0
20230113:1409,435.74,198.61,328.13,4.85,38.42,18.38,6.41,0.0
20230113:1509,540.7,402.67,248.89,5.16,32.72,18.33,6.62,0.0
20230113:1609,460.4,385.13,169.11,4.0,24.26,18.14,6.55,0.0
20230113:1709,104.23,35.21,105.48,1.31,13.98,17.92,6.41,0.0
20230113:1809,0.0,0.0,4.56,0.05,2.53,17.64,6.28,0.0
20230113:1909,0.0,0.0,0.0,0.0,0.0,17.38,6.34,0.0
20230113:2009,0.0,0.0,0.0,0.0,0.0,17.23,6.28,0.0
20230113:2109,0.0,0.0,0.0,0.0,0.0,17.1,6.07,0.0
20230113:2209,0.0,0.0,0.0,0.0,0.0,16.97,5.66,0.0
20230113:2309,0.0,0.0,0.0,0.0,0.0,16.72,5.1,0.0
20230114:0009,0.0,0.0,0.0,0.0,0.0,16.47,4.76,0.0
20230114:0109,0.0,0.0,0.0,0.0,0.0,16.28,4.48,0.0
20230114:0209,0.0,0.0,0.0,0.0,0.0,16.19,4.21,0.0
20230114:0309,0.0,0.0,0.0,0.0,0.0,16.18,3.86,0.0
20230114:0409,0.0,0.0,0.0,0.0,0.0,16.18,3.59,0.0
20230114:0509,0.0,0.0,0.0,0.0,0.0,16.25,3.59,0.0
20230114:0609,0.0,0.0,0.0,0.0,0.0,16.3,3.66,0.0
20230114:0709,0.0,0.0,0.0,0.0,0.0,16.38,4.0,0.0
20230114:0809,0.75,0.0,7.57,0.09,2.07,16.36,3.52,0.0
20230114:0909,268.68,244.89,93.98,2.15,13.58,16.77,3.17,0.0
20230114:1009,490.97,478.76,123.38,4.27,23.95,17.9,3.17,0.0
20230114:1109,643.14,658.92,140.58,5.97,32.53,18.77,3.24,0.0
20230114:1209,724.13,756.8,156.53,6.99,38.4,19.42,3.24,0.0
20230114:1309,756.53,799.54,160.26,7.37,40.59,19.87,3.38,0.0
20230114:1409,731.95,765.17,158.54,7.02,38.61,20.09,3.59,0.0
20230114:1509,655.36,675.02,141.98,6.02,32.91,20.16,3.79,0.0
20230114:1609,504.76,492.6,128.83,4.32,24.45,20.04,4.0,0.0
20230114:1709,301.43,285.2,93.96,2.29,14.16,19.66,4.14,0.0
20230114:1809,1.42,0.0,9.13,0.11,2.69,18.93,4.28,0.0
20230114:1909,0.0,0.0,0.0,0.0,0.0,18.09,4.97,0.0
20230114:2009,0.0,0.0,0.0,0.0,0.0,17.6,5.1,0.0
20230114:2109,0.0,0.0,0.0,0.0,0.0,17.24,5.1,0.0
20230114:2209,0.0,0.0,0.0,0.0,0.0,16.97,4.9,0.0
20230114:2309,0.0,0.0,0.0,0.0,0.0,16.79,4.62,0.0
20230115:0009,0.0,0.0,0.0,0.0,0.0,16.63,4.28,0.0
20230115:0109,0.0,0.0,0.0,0.0,0.0,16.54,4.0,0.0
20230115:0209,0.0,0.0,0.0,0.0,0.0,16.47,3.93,0.0
20230115:0309,0.0,0.0,0.0,0.0,0.0,16.39,4.0,0.0
20230115:0409,0.0,0.0,0.0,0.0,0.0,16.3,4.14,0.0
20230115:0509,0.0,0.0,0.0,0.0,0.0,16.17,4.28,0.0
20230115:0609,0.0,0.0,0.0,0.0,0.0,16.09,4.34,0.0
20230115:0709,0.0,0.0,0.0,0.0,0.0,16.05,4.48,0.0
20230115:0809,0.75,0.0,7.57,0.09,2.09,16.02,4.55,0.0
20230115:0909,251.29,212.1,103.07,2.07,13.63,16.42,5.1,0.0
20230115:1009,346.47,218.34,201.14,3.42,24.02,17.11,5.24,0.0
20230115:1109,315.6,109.53,274.69,3.72,32.64,17.76,5.66,0.0
20230115:1209,421.88,183.42,327.43,4.78,38.55,18.27,5.93,0.0
20230115:1309,382.06,125.87,338.19,4.56,40.77,18.59,6.34,0.0
